Actitis macularius_Spotted Sandpiper
Agelaius phoeniceus_Red-winged Blackbird
Anas platyrhynchos_Mallard
Aphelocoma californica_California Scrub-Jay
Aramides cajaneus_Gray-cowled Wood-Rail
Aramus guarauna_Limpkin
Attila spadiceus_Bright-rumped Attila
Baeolophus bicolor_Tufted Titmouse
Branta canadensis_Canada Goose
Buteo jamaicensis_Red-tailed Hawk
Buteo platypterus_Broad-winged Hawk
Calypte anna_Anna's Hummingbird
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Cardinalis cardinalis_Northern Cardinal
Chloris chloris_European Greenfinch
Coereba flaveola_Bananaquit
Colaptes auratus_Northern Flicker
Columba palumbus_Common Wood-Pigeon
Contopus cooperi_Olive-sided Flycatcher
Contopus virens_Eastern Wood-Pewee
Corvus brachyrhynchos_American Crow
Corvus corax_Common Raven
Crotophaga ani_Smooth-billed Ani
Crypturellus soui_Little Tinamou
Cyanistes caeruleus_Eurasian Blue Tit
Cyanocitta cristata_Blue Jay
Cyanocitta stelleri_Steller's Jay
Cyclarhis gujanensis_Rufous-browed Peppershrike
Dendrocopos major_Great Spotted Woodpecker
Dolichonyx oryzivorus_Bobolink
Dryobates pubescens_Downy Woodpecker
Dryobates villosus_Hairy Woodpecker
Dumetella carolinensis_Gray Catbird
Emberiza citrinella_Yellowhammer
Erithacus rubecula_European Robin
Falco sparverius_American Kestrel
Falco tinnunculus_Eurasian Kestrel
Fringilla coelebs_Common Chaffinch
Furnarius rufus_Rufous Hornero
Gallinula galeata_Common Gallinule
Garrulus glandarius_Eurasian Jay
Geothlypis trichas_Common Yellowthroat
Haemorhous mexicanus_House Finch
Himantopus mexicanus_Black-necked Stilt
Hirundo rustica_Barn Swallow
Icterus galbula_Baltimore Oriole
Junco hyemalis_Dark-eyed Junco
Leptotila verreauxi_White-tipped Dove
Megaceryle alcyon_Belted Kingfisher
Megarynchus pitangua_Boat-billed Flycatcher
Melanerpes carolinus_Red-bellied Woodpecker
Melospiza melodia_Song Sparrow
Mimus saturninus_Chalk-browed Mockingbird
Myiarchus tyrannulus_Brown-crested Flycatcher
Myiodynastes maculatus_Streaked Flycatcher
Myiopsitta monachus_Monk Parakeet
Myiozetetes similis_Social Flycatcher
Nyctibius griseus_Common Potoo
Nyctidromus albicollis_Common Pauraque
Pandion haliaetus_Osprey
Parus major_Great Tit
Passer domesticus_House Sparrow
Phoenicurus ochruros_Black Redstart
Phylloscopus collybita_Common Chiffchaff
Piaya cayana_Squirrel Cuckoo
Pitangus sulphuratus_Great Kiskadee
Podilymbus podiceps_Pied-billed Grebe
Poecile atricapillus_Black-capped Chickadee
Quiscalus quiscula_Common Grackle
Rupornis magnirostris_Roadside Hawk
Setophaga coronata_Yellow-rumped Warbler
Setophaga pitiayumi_Tropical Parula
Sicalis flaveola_Saffron Finch
Sitta carolinensis_White-breasted Nuthatch
Sitta europaea_Eurasian Nuthatch
Spinus tristis_American Goldfinch
Sturnus vulgaris_European Starling
Sylvia atricapilla_Eurasian Blackcap
Synallaxis albescens_Pale-breasted Spinetail
Synallaxis frontalis_Sooty-fronted Spinetail
Tapera naevia_Striped Cuckoo
Taraba major_Great Antshrike
Thamnophilus doliatus_Barred Antshrike
Thraupis sayaca_Sayaca Tanager
Thryothorus ludovicianus_Carolina Wren
Tringa melanoleuca_Greater Yellowlegs
Troglodytes aedon_House Wren
Turdus amaurochalinus_Creamy-bellied Thrush
Turdus leucomelas_Pale-breasted Thrush
Turdus merula_Eurasian Blackbird
Turdus migratorius_American Robin
Turdus philomelos_Song Thrush
Turdus rufiventris_Rufous-bellied Thrush
Tyrannus melancholicus_Tropical Kingbird
Tyrannus tyrannus_Eastern Kingbird
Vanellus chilensis_Southern Lapwing
Vireo chivi_Chivi Vireo
Volatinia jacarina_Blue-black Grassquit
Zenaida macroura_Mourning Dove
Zonotrichia capensis_Rufous-collared Sparrow
